salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
,,,,,,,,,,1,1年以下,10,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001006,月薪
75246.25,50000.0,60000.0,100000.0,48.0,True,60.0,75.0,48.0,165.0,2,1~3年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001006,月薪
94178.08,47800.0,77500.0,115000.0,0.0,False,77.0,94.0,39.0,165.0,3,3~5年,4,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001006,月薪
94293.14,50000.0,63500.0,100000.0,51.0,True,63.0,94.0,51.0,165.0,4,5~10年,24,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001006,月薪
86888.89,50000.0,65000.0,100000.0,0.0,False,65.0,86.0,27.0,165.0,5,10年以上,12,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001006,月薪
50464.81,36501.0,45000.0,60000.0,174.0,True,45.0,50.0,174.0,2207.0,1,1年以下,1019,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001003,月薪
53927.266,40000.0,48000.0,61250.0,507.0,True,48.0,53.0,507.0,2207.0,2,1~3年,674,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001003,月薪
54157.188,40000.0,50000.0,60000.0,439.0,True,50.0,54.0,439.0,2207.0,3,3~5年,434,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001003,月薪
55726.293,40000.0,50000.0,64241.5,649.0,True,50.0,55.0,649.0,2207.0,4,5~10年,362,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001003,月薪
58271.816,42000.0,51500.0,68375.0,438.0,True,51.0,58.0,438.0,2207.0,5,10年以上,75,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001003&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001003,月薪
110650.0,60000.0,100000.0,134000.0,20.0,True,100.0,110.0,20.0,184.0,1,1年以下,20,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001004,月薪
127600.0,80000.0,105000.0,170000.0,50.0,True,105.0,127.0,50.0,184.0,2,1~3年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001004,月薪
129465.95,82500.0,120000.0,150000.0,42.0,True,120.0,129.0,42.0,184.0,3,3~5年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001004,月薪
119306.0,80000.0,104500.0,152500.0,0.0,False,104.0,119.0,50.0,184.0,4,5~10年,23,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001004,月薪
158404.64,100000.0,135000.0,206500.0,22.0,True,135.0,158.0,22.0,184.0,5,10年以上,47,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001004,月薪
1812980.2,976504.9,1739162.9,2330478.2,20.0,True,100.0,110.0,20.0,184.0,1,1年以下,20,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001004,年薪
2090702.9,1302006.5,1826121.0,2956576.8,50.0,True,105.0,127.0,50.0,184.0,2,1~3年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001004,年薪
